@relation 'car-browsers_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M4'

@attribute -0.5313Series+0.502Dealership+0.456M5-0.369Showroom-0.28Z4... numeric
@attribute '-0.803ComputerSearch+0.401M5-0.292Z4+0.216Showroom+0.18 Financing...' numeric
@attribute '0.634Financing+0.55 Z4+0.466Showroom+0.176Dealership+0.17 M5...' numeric
@attribute -0.698Financing+0.456Dealership+0.365Showroom+0.314Z4+0.191M5... numeric
@attribute Purchase numeric

@data
1.039465,-0.230413,-2.072328,0.410742,0
0.808647,-1.00033,0.477294,-0.554717,0
1.039465,-0.230413,-2.072328,0.410742,0
1.717636,-0.200482,0.817159,-0.173566,1
1.473571,-0.559118,-0.377086,-1.142041,1
-0.586678,-1.247557,-0.976597,0.709217,0
1.627419,-1.478483,-0.555889,-1.362868,1
0.232094,-1.725709,-2.009781,-0.098934,0
-0.254191,-0.880814,0.316233,-0.715041,0
0.913785,-1.143427,0.722401,-0.51367,1
0.913785,-1.143427,0.722401,-0.51367,0
1.644135,-1.629687,-0.409368,1.070911,0
2.536408,-0.678634,-0.216025,-0.981718,1
0.248861,-1.58464,1.576781,0.073654,0
0.581297,-1.51017,-0.57043,0.910587,0
0.654798,-0.080965,0.656097,-0.33389,1
1.627419,-1.478483,-0.555889,-1.362868,1
1.627419,-1.478483,-0.555889,-1.362868,0
0.066844,1.167104,-0.860342,1.43972,0
1.948454,0.569435,-1.732464,0.791893,0
0.248861,-1.58464,1.576781,0.073654,1
1.067633,-2.062793,0.543598,-0.734497,1
0.55318,0.614482,0.253686,-0.205365,0
1.129682,1.047587,-0.69928,1.600044,0
-0.160454,0.949538,1.531975,0.643833,0
-1.146464,-1.831866,0.12289,1.337588,0
-0.160454,0.949538,1.531975,0.643833,0
0.399332,1.533847,0.432489,0.015462,0
-0.237475,-1.032018,0.462754,1.718739,0
-0.160454,0.949538,1.531975,0.643833,0
0.902383,0.830021,1.693036,0.804157,0
0.569896,0.463278,0.400206,2.228415,0
-0.509657,0.733999,0.092624,-0.365689,1
-1.146464,-1.831866,0.12289,1.337588,0
0.902383,0.830021,1.693036,0.804157,0
-0.237475,-1.032018,0.462754,1.718739,0
0.399332,1.533847,0.432489,0.015462,1
-1.273983,-0.5556,-0.040406,-1.640518,0
-1.273983,-0.5556,-0.040406,-1.640518,0
-1.861937,0.692469,-1.556845,0.133093,0
-1.861937,0.692469,-1.556845,0.133093,0
-2.421723,0.108159,-0.457358,0.761464,0
-1.529449,1.059212,-0.264015,-1.291165,1
-1.861937,0.692469,-1.556845,0.133093,0
-2.166256,-1.506653,-0.233749,0.412111,0
-1.273983,-0.5556,-0.040406,-1.640518,0
-1.833769,-1.13991,1.059081,-1.012147,1
1.516616,-0.353421,-0.572664,-1.907194,1
2.203921,-1.045378,-1.508855,0.44254,0
1.976622,-1.262944,0.883462,-0.353347,0
0.138058,-0.459579,1.560006,-0.470672,1
0.138058,-0.459579,1.560006,-0.470672,0
0.902383,0.830021,1.693036,0.804157,1
1.129682,1.047587,-0.69928,1.600044,0
-0.952948,1.492317,-1.216981,0.514243,0
0.198312,1.380908,-0.957334,-1.718166,1
-0.134175,1.014165,-2.250164,-0.293908,0
1.294932,-1.845226,-1.848719,0.06139,0
1.462169,1.414331,0.59355,0.175786,1
0.399332,1.533847,0.432489,0.015462,1
1.717636,-0.200482,0.817159,-0.173566,0
1.129682,1.047587,-0.69928,1.600044,0
0.399332,1.533847,0.432489,0.015462,1
1.15785,-0.784792,1.916645,0.454805,1
1.462169,1.414331,0.59355,0.175786,0
1.294932,-1.845226,-1.848719,0.06139,0
1.129682,1.047587,-0.69928,1.600044,0
1.462169,1.414331,0.59355,0.175786,1
-0.083627,-1.951383,0.283951,1.497912,0
1.462169,1.414331,0.59355,0.175786,1
1.15785,-0.784792,1.916645,0.454805,1
0.399332,1.533847,0.432489,0.015462,1
1.26115,1.261391,-0.796273,-1.557842,1
1.948454,0.569435,-1.732464,0.791893,0
1.721156,0.351868,0.659853,-0.003994,1
0.442377,1.739544,0.236911,-0.749691,1
1.26115,1.261391,-0.796273,-1.557842,0
1.15785,-0.784792,1.916645,0.454805,1
1.462169,1.414331,0.59355,0.175786,1
-0.134175,1.014165,-2.250164,-0.293908,0
1.26115,1.261391,-0.796273,-1.557842,1
0.198312,1.380908,-0.957334,-1.718166,1
-1.60647,-0.922344,-1.333236,-0.21626,0
-2.089235,0.474902,0.835472,-0.662794,1
-2.421723,0.108159,-0.457358,0.761464,0
-2.421723,0.108159,-0.457358,0.761464,0
-2.421723,0.108159,-0.457358,0.761464,0
-2.089235,0.474902,0.835472,-0.662794,1
-2.421723,0.108159,-0.457358,0.761464,0
-2.166256,-1.506653,-0.233749,0.412111,0
-2.089235,0.474902,0.835472,-0.662794,1
-2.089235,0.474902,0.835472,-0.662794,1
-1.60647,-0.922344,-1.333236,-0.21626,0
-2.089235,0.474902,0.835472,-0.662794,1
-2.089235,0.474902,0.835472,-0.662794,0
-2.421723,0.108159,-0.457358,0.761464,0
-2.089235,0.474902,0.835472,-0.662794,1
-2.089235,0.474902,0.835472,-0.662794,1
-2.421723,0.108159,-0.457358,0.761464,0
-1.833769,-1.13991,1.059081,-1.012147,0
